Andrea Sachs
Annika Bengtzon
Anthony Markovitz
Art Donovan
Becky Burdock
Ben Andrews
Ben Gregory
Betty Brant Leeds
Bill Hastings
Billie Newman
Bob Wallace
Brian Fantana
Brick Tamland
Bridget Jones
Brooke English
Brooke Vandenberg
Bryan Denton
Cameron "Buck" Williams
Celeste Anders
Chick Adams
Chloe Sullivan
Chris Higby
Christine Massey
Damien Day
Dave Tabak
Diane Simmons
Dion Patrick
Doris Martin
Frankly Unctuous
Frederick Foswell
Gallegher
George Dent
George Faber
GlobeLink
Grant Gabriel
Gus Hedges
Harris Claibourne
Henry Davenport
Howard Beale
Ichabod Adams
Jackie Harvey
Jack McEvoy
Jack McGee
Jack Parlabane
Jack Ryder
Jamie Campbell
Jasmine Thomas
Jefferson Crowley
Jim Stevens
John Boy Walton
John Fitzgerald Byers
Josh Cashman
Juan Carlos Bodoque
Katie Reed
Kelly O'Donnell
Kent Brockman
Lance Bannon
Les Nessman
Libby Kennedy
Linda van Schoonhoven
Lloyd Ramsey
Louis Ciccone
Lou Sheldon
Maddy Bowen
Margaret Pynchon
Mattie Storin
Michelle Capra
Mike Moore
Miranda Priestly
Mr. Fosdick
Mr. Wallace
Murray Scarvi
Nancy Hicks-Gribble
Ned Leeds
Nick Alexander
Nicole Walker
Otto Chriek
Pat Garrison
Paul Beltzer
Paul Marino
Paul Templin
Pepper Dennis
Percy "P.C.M." Mercy
Perry White
Polly Becker
Rick Jason
Riley Parker
Ron Updyke
Ruth Sherwood
Sabrina Spellman
Sacharissa Cripslock
Steve Wilson
Tally Atwater
Tom Grunick
Tony Hills
Trevor Newsworthy
Tricia Takanawa
Trudy Monk
Tulio Triviño
Ulysse Mérou
Vernon Fenwick
Veronica Corningstone
Vivian Rook
Walter Burns
Wes Mantooth
